// Fore each type of zone (Business, Countryside etc) we have a that controls the ped densities.
// There is a set of values for each time of the day in 2 hour increments (midnight, 2am, 4 am etc)
// There are 2 sets of values: Weekday & Weekend.
// #Peds is the maximum number of peds you can ever have.
// #Cars is the maximum number of cars you can ever have.

// 4 Values for Dealers Gang Cops Other. These are percentages and are used to take the
// number of Dealers, gang members etc down during certain times of the day.
// These numbers do not add up to anything. If they are all 100% you would get the full #Peds.

// A number of values for the different types of peds that are not Dealers, Gang members or cops.
// This is what is specified as 'Other' in the first 4 values.
// This number should add up to 100%. If it doesn't the game will scale it to 100% and print a warning.

////////////////////////////////////////////////////////////////////////////////////////
// BUSINESS
////////////////////////////////////////////////////////////////////////////////////////
// Weekday
//
// #Peds #Cars Dealers Gang Cops Other     Workers Business Clubbers Farmers BeachFolk Parkfolk Casual_Rich Casual_Average Casual_Poor Prozzies Crimimals Golfers Servants Aircrew Entertainers oot_fact Desertfolk Aircrew_runway
    3     2     100      100  20  100       10        0       15       0       0       0         0            0               25         35        15      0       0         0       0            0      0         0   // Midnight
    3     4     100      100  30  100       15        0       15       0       0       0         0            0               30         30        10      0       0         0       0            0      0         0  // 2am
    3     8     50       50   50  100       15        0       10       0       0       0         0            0               35         30        10      0       0         0       0            0      0         0 // 4am
   10    20     30       35   50  100       10       55       0        0       0       0         0            35              0          0         0       0       0         0       0            0      0         0 // 6am
   26    40     10       30   50  100        5       75       0        0       0       0         0            25              0          0         0       0       0         0       0            0      0         0 // 8am
   15    35     10       30   50  100        5       75       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 10am
   25    30     10       30   20  100        5       75       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // noon
   19    35     50       30   30  100        5       75       0        0       0       0         0            20              0          0         0       0       0         0       0            0      0         0 // 2pm
   19    36     50       30   50  100       15       60       0        0       0       0         0            25              0          0         0       0       0         0       0            0      0         0 // 4pm
   20    38     50       70   40  100       10       60       0        0       0       0         0            30              0          0         0       0       0         0       0            0      0         0 // 6pm
   10    19     50       100  10  100        5       75       0        0       0       0         0            15              0          0         0       0       0         0       0            0      0         0 // 8pm
    5     6     100      100  10  100        0       0        15       0       0       0         0            0               35         35        15      0       0         0       0            0      0         0 // 10pm
////////////////////////////////////////////////////////////////////////////////////////
// Weekend
//
// #Peds #Cars Dealers Gang Cops Other     Workers Business Clubbers Farmers BeachFolk Parkfolk Casual_Rich Casual_Average Casual_Poor Prozzies Crimimals Golfers Servants Aircrew Entertainers oot_fact Desertfolk Aircrew_runway
   13     9     100     100   10  100        0       0        15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0          // Midnight
   13     9     100     100   10  100        0       0        15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0           // 2am
   13    12     100     100   10  100        0       0        15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0           // 4am
   15    18     100     100   10  100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0          // 6am
   30    20     10       70  100  100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0           // 8am
   30    30     10       70  50   100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0           // 10am
   30    30     30       70  50   100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0           // noon
   30    30     30       70  80   100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0           // 2pm
   30    27     40       70  40   100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0           // 4pm
   10    25     50       70  10   100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0           // 6pm
   16    20     50      100  10   100        0       70       0        0       0       0        0            30               0        0         0       0       0         0       0            0      0           0           // 8pm
   15    12     100     100  10   100        0        0       15       0       0       0        0            0                35       35       15       0       0         0       0            0      0           0           // 10pm

////////////////////////////////////////////////////////////////////////////////////////
// DESERT
////////////////////////////////////////////////////////////////////////////////////////
// Weekday
//
// #Peds #Cars Dealers Gang Cops Other     Workers Business Clubbers Farmers BeachFolk Parkfolk Casual_Rich Casual_Average Casual_Poor Prozzies Crimimals Golfers Servants Aircrew Entertainers oot_fact Desertfolk Aircrew_runway
