20
1143.4 -1716.56 -80.42838 0
1115.95 -1684.55 -80.26847 0
1088.05 -1652.5 -80.00504 0
1060.02 -1620.38 -80.66715 0
1031.55 -1588.3 -80.28288 0
1002.7 -1556.24 -80.87981 0
973.449 -1524.47 -80.4882 0
943.808 -1492.9 -80.13567 0
913.651 -1461.66 -80.85051 0
882.989 -1430.9 -80.66154 0
851.782 -1400.67 -80.59709 0
836.006 -1386.07 -80.64041 0
819.973 -1370.91 -80.68558 0
814.997 -1366.51 -80.668 1
799.174 -1352.65 -80.61209 0
778.248 -1333.63 -80.53714 0
775.436 -1330.98 -80.52689 0
730.112 -1292.51 -80.64896 0
684.107 -1255.7 -80.17215 0
637.315 -1220.75 -80.7822 0
